Nama,No. Kad Pengenalan,Jantina,Alamat
Mohd Firdaus bin Rahman,090401498117,Lelaki,"Lot 56, Tingkat 1, Blok B, Jalan Tempasuk, 89150 Kota Belud, Sabah"
Farhana binti Awang,100129128228,Perempuan,"No. 72, Kampung Likas, Jalan Usukan, 89150 Kota Belud, Sabah"
Aldrin bin Motinggo,080220488339,Lelaki,"No. 83, Taman Megah, Jalan Pegagau, 91300 Semporna, Sabah"
Easter binti Dunging,091007128440,Perempuan,"Lot 47, Tingkat 4, Blok C, Jalan Bubul, 91300 Semporna, Sabah"
Chong Wei Jian,070715478551,Lelaki,"No. 29, Kampung Pasir Putih, Jalan Kabogan, 91300 Semporna, Sabah"
Tan Siew Ling,080504498664,Perempuan,"No. 104, Taman Sentosa, Jalan Beaufort - Papar, 89600 Papar, Sabah"
Al-Hafiz bin Mohd,090918128777,Lelaki,"Lot 71, Tingkat 3, Blok A, Jalan Pan Borneo, 89600 Papar, Sabah"
Siti Norhaliza binti Abdullah,101225488882,Perempuan,"No. 5, Kampung Kolopis, Jalan Simpudu, 89600 Papar, Sabah"
Jovian bin Ambrose,080330128993,Lelaki,"No. 112, Taman Vista, Jalan Tun Fuad Stephens, 88000 Kota Kinabalu, Sabah"
Jacquelyn binti Marius,090114479004,Perempuan,"Lot 88, Tingkat 2, Blok D, Jalan Tuaran, 88100 Kota Kinabalu, Sabah"
Liew Tze Kent,070908499115,Lelaki,"No. 36, Kampung Air, Jalan Coastal, 88000 Kota Kinabalu, Sabah"
Chong Siew Ching,081231129226,Perempuan,"No. 49, Taman Jumbo, Jalan KK Bypass, 88000 Kota Kinabalu, Sabah"
Nuriman bin Sulaiman,091024489337,Lelaki,"Lot 105, Tingkat 1, Blok B, Jalan Penampang, 89500 Penampang, Sabah"
Clarissa binti Dualis,100515129442,Perempuan,"No. 18, Kampung Kepayan, Jalan Donggongon, 89500 Penampang, Sabah"
Yong Kah Chun,080802479555,Lelaki,"No. 92, Taman Megah, Jalan Bundusan, 89500 Penampang, Sabah"
Liew Yee Wen,090306499668,Perempuan,"Lot 40, Tingkat 4, Blok A, Jalan Kobusak, 89500 Penampang, Sabah"
Arthur bin Gompil,071112129779,Lelaki,"No. 63, Kampung Likas, Jalan Labuk, 90000 Sandakan, Sabah"
Michelle binti Tokuzip,080720489888,Perempuan,"No. 77, Taman Indah, Jalan Leila, 90000 Sandakan, Sabah"
Ng Wei Hong,090511129993,Lelaki,"Lot 22, Tingkat 3, Blok C, Jalan Utara, 90000 Sandakan, Sabah"
Yong Jia Xin,100222470104,Perempuan,"No. 51, Kampung Baru, Jalan Sibuga, 90700 Sandakan, Sabah"
Oswald bin Katingan,080609490215,Lelaki,"No. 85, Taman Hilltop, Jalan Apas, 91000 Tawau, Sabah"
Christy binti Ginsos,090417120326,Perempuan,"Lot 66, Tingkat 2, Blok B, Jalan Kuhara, 91000 Tawau, Sabah"
